fielder_name,anticipation_score,total_opportunities,execution_score,deterrence_score,composite_score
Luisangel Acuña,99.99986500018224,198,62.240138548193215,94.72017109867265,85.46403726660868
Daniel Johnson,79.9748607448266,10,75.4802318039118,60.202638222413974,73.45868498490326
Dairon Blanco,85.80110120705291,6,64.07329015486927,63.14678073244776,72.53278722013735
Ryan Kreidler,82.67515027412327,23,56.409601924984266,74.9233507725831,71.54425847653958
Bryce Johnson,72.46548414906822,13,68.89754586843017,61.82699271070851,68.55708289125498
Michael Helman,66.32851086218983,13,70.82835669378086,65.98940108696321,67.81867945944003
José Azocar,68.26616171065074,25,69.3949472756113,63.34982504348463,67.43215249159542
Garrett Mitchell,72.91888047183099,231,59.8265825796956,64.46656875418707,66.22349828017262
Jackson Chourio,57.77390296691027,14,77.79970047806528,60.60872684448759,65.49163806520886
Mauricio Dubón,66.98670428583634,23,67.07404916510205,60.202638222413974,65.32125847772375
Jake Mccarthy,72.38885785727477,50,58.69696055233572,63.14678073244776,65.28617451933935
Kevin Alcántara,63.80081884627013,44,62.14225269294907,69.33963221907068,64.6050240358079
Steven Kwan,52.941105000096464,191,52.225756784196506,99.99932318562988,64.45528767091483
Lawrence Butler,70.58814000012863,32,59.52480893696429,61.31938193311641,64.39878461126806
Jorge Barrosa,65.68618583345304,63,62.24636442451074,64.16200228763186,64.10120245386794
Wyatt Langford,64.10759042384565,61,65.93920212757547,60.8117711555244,63.92469970307077
Brandon Lockridge,72.03461827881979,37,55.887208229735364,62.03003702174532,63.88187944737163
Tyrone Taylor,61.546372950642215,17,65.75211959378086,64.87265737626069,63.84995538214536
Javier Báez,63.01239265163,41,63.184620225517776,65.38026815385278,63.66464117804642
Pete Crow-Armstrong,65.22452919104352,273,60.725417690915585,62.537647799337336,62.97811981807219
Jarren Duran,66.94957608259624,46,57.76258411245922,63.75591366555825,62.93571328878879
Oneil Cruz,62.55224649890771,264,62.11786534059376,63.55286935452145,62.65036880740126
Tj Friedl,60.793152420492945,197,63.334221614689476,60.60872684448759,61.636420244460396
Mike Yastrzemski,56.65627026326114,6,69.12169407801002,58.88285020067465,61.575813582776625
Kenedy Corona,50.98032333342623,21,73.13198048667627,61.116337622079605,61.267406909227084
Julio Rodríguez,60.90149327862445,293,58.160494527506756,65.78635677592641,61.16335959005875
Denzel Clarke,60.62610411301371,270,62.93067038166748,58.67980588963785,60.94612775119856
Blake Perkins,62.678340695631995,41,55.16789016215896,64.87265737626069,60.59826217907361
Evan Carter,59.64890168266999,216,61.99411205500588,60.101116066895564,60.582778909043945
Jackson Merrill,63.659875123412576,263,56.939859739273814,59.99959391137717,60.392799435955155
Angel Martínez,62.60398263352476,28,55.44190112164373,63.45134719900304,60.30909524573597
Andy Pages,60.63977946199392,279,61.87047239771213,57.36001786789851,60.25058159097144
Tristan Peters,66.7518280435999,90,58.2513739136454,52.48695440301492,60.21045068796958
José Siri,42.44416176731871,17,83.04168803685963,56.54784062375129,60.17921567576617
Austin Martin,61.300226842216965,19,59.42755414249595,59.28893882274827,60.141969392447436
Drew Gilbert,65.07344156261861,23,58.71192780515309,54.11130889130946,60.10637857967839
Víctor Robles,59.55874312510853,27,55.740424075300986,66.70005617559204,60.007659720296765
Daulton Varsho,60.96248454556562,256,59.463931603781305,59.18741666722986,59.99422404635717
Colton Cowser,59.04335074777113,106,62.95963779707241,57.36001786789851,59.99321799505842
Jake Mangum,54.41510328316179,34,68.19561299282621,55.53261906856718,59.51766062789569
Jo Adell,55.52913500438936,17,64.79168490179431,58.07067295652736,59.4064119565156
Chandler Simpson,58.000573483485184,45,63.363341062666436,56.04022984615921,59.38745622686713
Dane Myers,57.58506157905231,132,61.10870558296927,59.69502744482188,59.34582844686563
Trent Grisham,58.83629354814214,247,60.34681640340439,58.476761578601035,59.27509355509865
Michael Siani,60.582089226914526,24,63.60059308592323,50.456511292646766,59.107171094000634
Jake Meyers,61.909270327981694,176,54.759082731317065,59.89807175585875,58.90390502611834
Luis Robert,60.0953083784879,278,57.23379469002202,59.28893882274827,58.89218619858993
Harrison Bader,58.960975600532514,180,58.86538561666298,58.375239423082625,58.7810850618157
